date,holiday,weekday,weekend
20090101,1,4,0
20090102,1,5,0
20090103,1,6,1
20090104,0,7,0
20090105,0,1,0
20090106,0,2,0
20090107,0,3,0
20090108,0,4,0
20090109,0,5,0
20090110,0,6,1
20090111,0,7,1
20090112,0,1,0
20090113,0,2,0
20090114,0,3,0
20090115,0,4,0
20090116,0,5,0
20090117,0,6,1
20090118,0,7,1
20090119,0,1,0
20090120,0,2,0
20090121,0,3,0
20090122,0,4,0
20090123,0,5,0
20090124,0,6,0
20090125,1,7,1
20090126,1,1,0
20090127,1,2,0
20090128,1,3,0
20090129,1,4,0
20090130,1,5,0
20090131,1,6,1
20090201,0,7,0
20090202,0,1,0
20090203,0,2,0
20090204,0,3,0
20090205,0,4,0
20090206,0,5,0
20090207,0,6,1
20090208,0,7,1
20090209,0,1,0
20090210,0,2,0
20090211,0,3,0
20090212,0,4,0
20090213,0,5,0
20090214,0,6,1
20090215,0,7,1
20090216,0,1,0
20090217,0,2,0
20090218,0,3,0
20090219,0,4,0
20090220,0,5,0
20090221,0,6,1
20090222,0,7,1
20090223,0,1,0
20090224,0,2,0
20090225,0,3,0
20090226,0,4,0
20090227,0,5,0
20090228,0,6,1
20090301,0,7,1
20090302,0,1,0
20090303,0,2,0
20090304,0,3,0
20090305,0,4,0
20090306,0,5,0
20090307,0,6,1
20090308,0,7,1
20090309,0,1,0
20090310,0,2,0
20090311,0,3,0
20090312,0,4,0
20090313,0,5,0
20090314,0,6,1
20090315,0,7,1
20090316,0,1,0
20090317,0,2,0
20090318,0,3,0
20090319,0,4,0
20090320,0,5,0
20090321,0,6,1
20090322,0,7,1
20090323,0,1,0
20090324,0,2,0
20090325,0,3,0
20090326,0,4,0
20090327,0,5,0
20090328,0,6,1
20090329,0,7,1
20090330,0,1,0
20090331,0,2,0
20090401,0,3,0
20090402,0,4,0
20090403,0,5,0
20090404,1,6,1
20090405,1,7,1
20090406,1,1,0
20090407,0,2,0
20090408,0,3,0
20090409,0,4,0
20090410,0,5,0
20090411,0,6,1
20090412,0,7,1
20090413,0,1,0
20090414,0,2,0
20090415,0,3,0
20090416,0,4,0
20090417,0,5,0
20090418,0,6,1
20090419,0,7,1
20090420,0,1,0
20090421,0,2,0
20090422,0,3,0
20090423,0,4,0
20090424,0,5,0
20090425,0,6,1
20090426,0,7,1
20090427,0,1,0
20090428,0,2,0
20090429,0,3,0
20090430,0,4,0
20090501,1,5,0
20090502,1,6,1
20090503,1,7,1
20090504,0,1,0
20090505,0,2,0
20090506,0,3,0
20090507,0,4,0
20090508,0,5,0
20090509,0,6,1
20090510,0,7,1
20090511,0,1,0
20090512,0,2,0
20090513,0,3,0
20090514,0,4,0
20090515,0,5,0
20090516,0,6,1
20090517,0,7,1
20090518,0,1,0
20090519,0,2,0
20090520,0,3,0
20090521,0,4,0
20090522,0,5,0
20090523,0,6,1
20090524,0,7,1
20090525,0,1,0
20090526,0,2,0
20090527,0,3,0
20090528,1,4,0
20090529,1,5,0
20090530,1,6,1
20090531,0,7,0
20090601,0,1,0
20090602,0,2,0
20090603,0,3,0
20090604,0,4,0
20090605,0,5,0
20090606,0,6,1
20090607,0,7,1
20090608,0,1,0
20090609,0,2,0
20090610,0,3,0
20090611,0,4,0
20090612,0,5,0
20090613,0,6,1
20090614,0,7,1
20090615,0,1,0
20090616,0,2,0
20090617,0,3,0
20090618,0,4,0
20090619,0,5,0
20090620,0,6,1
20090621,0,7,1
20090622,0,1,0
20090623,0,2,0
20090624,0,3,0
20090625,0,4,0
20090626,0,5,0
20090627,0,6,1
20090628,0,7,1
20090629,0,1,0
20090630,0,2,0
20090701,0,3,0
20090702,0,4,0
20090703,0,5,0
20090704,0,6,1
20090705,0,7,1
20090706,0,1,0
20090707,0,2,0
20090708,0,3,0
20090709,0,4,0
20090710,0,5,0
20090711,0,6,1
20090712,0,7,1
20090713,0,1,0
20090714,0,2,0
20090715,0,3,0
20090716,0,4,0
20090717,0,5,0
20090718,0,6,1
20090719,0,7,1
20090720,0,1,0
20090721,0,2,0
20090722,0,3,0
20090723,0,4,0
20090724,0,5,0
20090725,0,6,1
20090726,0,7,1
20090727,0,1,0
20090728,0,2,0
20090729,0,3,0
20090730,0,4,0
20090731,0,5,0
20090801,0,6,1
20090802,0,7,1
20090803,0,1,0
20090804,0,2,0
20090805,0,3,0
20090806,0,4,0
20090807,0,5,0
20090808,0,6,1
20090809,0,7,1
