,date,index
0,2009/9/11,27
1,2009/9/12,123
2,2009/9/13,219
3,2009/9/14,315
4,2009/9/15,410
5,2009/9/16,506
6,2009/9/17,597
7,2009/9/18,693
8,2009/9/19,789
9,2009/9/20,885
10,2009/9/21,981
11,2009/9/22,1076
12,2009/9/23,1172
13,2009/9/24,1268
14,2009/9/25,1364
15,2009/9/26,1460
16,2009/9/27,1556
17,2009/9/28,1652
18,2009/9/29,1748
19,2009/9/30,1844
20,2009/10/1,1940
21,2009/10/2,2036
22,2009/10/3,2132
23,2009/10/4,2228
24,2009/10/5,2324
25,2009/10/6,2420
26,2009/10/7,2516
27,2009/10/8,2612
28,2009/10/9,2708
29,2009/10/10,2804
30,2009/10/11,2900
31,2009/10/12,2996
32,2009/10/13,3092
33,2009/10/14,3188
34,2009/10/15,3284
35,2009/10/16,3380
36,2009/10/17,3476
37,2009/10/18,3572
38,2009/10/19,3668
39,2009/10/20,3764
40,2009/10/21,3860
41,2009/10/22,3956
42,2009/10/23,4051
43,2009/10/24,4147
44,2009/10/25,4243
45,2009/10/26,4339
46,2009/10/27,4432
47,2009/10/28,4528
48,2009/10/29,4624
49,2009/10/30,4720
50,2009/10/31,4816
51,2009/11/1,4912
52,2009/11/2,5008
53,2009/11/3,5104
54,2009/11/4,5200
55,2009/11/5,5295
56,2009/11/6,5391
57,2009/11/7,5487
58,2009/11/8,5583
59,2009/11/9,5679
60,2009/11/10,5775
61,2009/11/11,5871
62,2009/11/12,5967
63,2009/11/13,6063
64,2009/11/14,6158
65,2009/11/15,6254
66,2009/11/16,6350
67,2009/11/17,6446
68,2009/11/18,6542
69,2009/11/19,6638
70,2009/11/20,6734
71,2009/11/21,6830
72,2009/11/22,6926
73,2009/11/23,7022
74,2009/11/24,7118
75,2009/11/25,7214
76,2009/11/26,7310
77,2009/11/27,7406
78,2009/11/28,7502
79,2009/11/29,7598
80,2009/11/30,7694
81,2009/12/1,7790
82,2009/12/2,7886
83,2009/12/3,7982
84,2009/12/4,8078
85,2009/12/5,8174
86,2009/12/6,8270
87,2009/12/7,8366
88,2009/12/8,8462
89,2009/12/9,8558
90,2009/12/10,8654
91,2009/12/11,8750
92,2009/12/12,8846
93,2009/12/13,8942
94,2009/12/14,9038
95,2009/12/15,9134
96,2009/12/16,9230
97,2009/12/17,9326
98,2009/12/18,9422
99,2009/12/19,9518
100,2009/12/20,9614
101,2009/12/21,9710
102,2009/12/22,9806
103,2009/12/23,9902
104,2009/12/24,9998
105,2009/12/25,10094
106,2009/12/26,10190
107,2009/12/27,10286
108,2009/12/28,10382
109,2009/12/29,10476
110,2009/12/30,10572
111,2009/12/31,10668
112,2010/1/1,10764
113,2010/1/2,10860
114,2010/1/3,10956
115,2010/1/4,11051
116,2010/1/5,11147
117,2010/1/6,11243
118,2010/1/7,11339
119,2010/1/8,11435
120,2010/1/9,11529
121,2010/1/10,11625
122,2010/1/11,11721
123,2010/1/12,11817
124,2010/1/13,11912
125,2010/1/14,12008
126,2010/1/15,12104
127,2010/1/16,12186
128,2010/1/17,12282
129,2010/1/18,12378
130,2010/1/19,12474
131,2010/1/20,12570
132,2010/1/21,12666
133,2010/1/22,12762
134,2010/1/23,12858
135,2010/1/24,12954
136,2010/1/25,13050
137,2010/1/26,13146
138,2010/1/27,13242
139,2010/1/28,13338
140,2010/1/29,13434
141,2010/1/30,13530
142,2010/1/31,13626
143,2010/2/1,13722
144,2010/2/2,13818
145,2010/2/3,13914
146,2010/2/4,14010
147,2010/2/5,14106
148,2010/2/6,14202
149,2010/2/7,14298
150,2010/2/8,14394
151,2010/2/9,14490
152,2010/2/10,14586
153,2010/2/11,14682
154,2010/2/12,14778
155,2010/2/13,14874
156,2010/2/14,14970
157,2010/2/15,15066
158,2010/2/16,15162
159,2010/2/17,15242
160,2010/2/18,15338
161,2010/2/19,15434
162,2010/2/20,15530
163,2010/2/21,15626
164,2010/2/22,15722
165,2010/2/23,15818
166,2010/2/24,15914
167,2010/2/25,16010
168,2010/2/26,16106
169,2010/2/27,16189
170,2010/2/28,16285
171,2010/3/1,16381
172,2010/3/2,16474
173,2010/3/3,16570
174,2010/3/4,16666
175,2010/3/5,16762
176,2010/3/6,16858
177,2010/3/9,17001
178,2010/3/10,17097
179,2010/3/11,17177
180,2010/3/12,17273
181,2010/3/13,17369
182,2010/3/14,17465
183,2010/3/15,17561
184,2010/3/16,17657
185,2010/3/17,17753
186,2010/3/18,17848
187,2010/3/19,17943
188,2010/3/20,18039
189,2010/3/21,18134
190,2010/3/22,18230
191,2010/3/23,18326
192,2010/3/24,18422
193,2010/3/25,18517
194,2010/3/26,18613
195,2010/3/27,18708
196,2010/3/28,18804
197,2010/3/29,18900
198,2010/3/30,18995
199,2010/3/31,19090
200,2010/4/1,19185
201,2010/4/3,19317
202,2010/4/5,19442
203,2010/4/6,19538
204,2010/4/7,19634
205,2010/4/8,19729
206,2010/4/9,19825
207,2010/4/10,19921
208,2010/4/12,20053
209,2010/4/13,20149
210,2010/4/14,20244
211,2010/4/15,20340
212,2010/4/16,20428
213,2010/4/17,20524
214,2010/4/18,20620
215,2010/4/19,20716
216,2010/4/20,20808
217,2010/4/23,20985
218,2010/4/24,21081
219,2010/4/25,21177
220,2010/4/26,21273
221,2010/4/27,21369
222,2010/4/28,21465
223,2010/4/29,21561
224,2010/4/30,21654
225,2010/5/1,21749
226,2010/5/2,21845
227,2010/5/3,21941
228,2010/5/4,22018
229,2010/5/5,22114
230,2010/5/6,22208
231,2010/5/7,22304
232,2010/5/8,22400
233,2010/5/9,22495
234,2010/5/12,22609
235,2010/5/13,22699
236,2010/5/14,22790
237,2010/5/15,22886
238,2010/5/16,22975
239,2010/5/17,23071
240,2010/5/18,23167
241,2010/5/20,23301
242,2010/5/21,23394
243,2010/5/22,23489
244,2010/5/23,23581
245,2010/5/24,23677
246,2010/5/25,23773
247,2010/5/26,23869
248,2010/5/27,23965
249,2010/5/28,24061
250,2010/5/29,24153
251,2010/5/30,24249
252,2010/6/1,24397
253,2010/6/2,24493
254,2010/6/3,24589
255,2010/6/4,24681
256,2010/6/5,24777
257,2010/6/8,24842
258,2010/6/9,24938
259,2010/6/10,25034
260,2010/6/11,25126
261,2010/6/12,25222
262,2010/6/13,25318
263,2010/6/16,25372
264,2010/6/18,25491
265,2010/6/19,25587
266,2010/6/22,25711
267,2010/6/23,25768
268,2010/6/24,25856
269,2010/6/25,25944
270,2010/6/26,26040
271,2010/6/27,26136
272,2010/6/28,26232
273,2010/6/29,26328
274,2010/6/30,26424
275,2010/7/1,26505
276,2010/7/2,26601
277,2010/7/5,26715
278,2010/7/6,26811
279,2010/7/7,26907
280,2010/7/10,27071
281,2010/7/13,27161
282,2010/7/14,27256
283,2010/7/15,27321
284,2010/7/16,27417
285,2010/7/17,27510
286,2010/7/18,27606
287,2010/7/21,27766
288,2010/7/22,27860
289,2010/7/23,27956
290,2010/7/26,28073
291,2010/7/27,28169
292,2010/7/28,28265
293,2010/7/30,28391
294,2010/7/31,28487
295,2010/8/1,28583
296,2010/8/2,28678
297,2010/8/3,28774
298,2010/8/4,28870
299,2010/8/5,28966
300,2010/8/6,29062
301,2010/8/8,29239
302,2010/8/9,29335
303,2010/8/10,29431
304,2010/8/11,29527
305,2010/8/12,29623
306,2010/8/13,29719
307,2010/8/14,29815
308,2010/8/15,29911
309,2010/8/16,30007
310,2010/8/17,30103
311,2010/8/18,30199
312,2010/8/19,30295
313,2010/8/20,30391
314,2010/8/21,30487
315,2010/8/22,30583
316,2010/8/23,30679
317,2010/8/24,30775
318,2010/8/25,30867
319,2010/8/26,30963
320,2010/8/27,31059
321,2010/8/28,31155
322,2010/8/29,31251
323,2010/8/30,31347
324,2010/8/31,31443
325,2010/9/1,31539
326,2010/9/2,31635
327,2010/9/3,31731
328,2010/9/4,31827
329,2010/9/5,31923
330,2010/9/6,32019
331,2010/9/7,32115
332,2010/9/8,32211
