year	ps	pc	ac	t	i
1980	98705	0.1939	803	2.4348	37333.52
1981	100072	0.2016	871	2.2683	36587.41
1982	101654	0.2113	953	2.1703	38244.22
1983	103008	0.2162	1038	2.0801	40735.86
1984	104357	0.2301	1131	1.9576	44203.9
1985	105851	0.2371	1265	1.8815	48099.66
1986	107507	0.2452	1342	1.8348	50911.68
1987	109300	0.2532	1450	1.7716	54819.13
1988	111026	0.2581	1635	1.7143	59045.98
1989	112704	0.2621	1664	1.7141	61495.16
1990	114333	0.2641	1666	1.6742	62507.36
1991	115823	0.2694	1743	1.6205	66012.05
1992	117171	0.2746	1926	1.4897	69220.44
1993	118517	0.2799	2082	1.4057	74244.3
1994	119850	0.2851	2272	1.3047	77940.73
1995	121121	0.2904	2530	1.2829	83790.41
1996	122389	0.3048	2820	1.2369	89017.49
1997	123626	0.3191	2999	1.1006	86833.46
1998	124761	0.3335	3169	0.9683	81985.86
1999	125786	0.3478	3410	0.9246	84501.77
2000	126743	0.3622	3632	0.8759	86903.12
2001	127627	0.3766	3783	0.8259	88544.25
2002	128453	0.3909	4007	0.7999	93946.26
2003	129227	0.4053	4220	0.8445	109731.49
2004	129988	0.4176	4419	0.8839	126805.37
2005	130756	0.4299	4738	0.8839	140962.42
2006	131448	0.439	5155	0.868	154680.75
2007	132129	0.4494	5673	0.833	166525.31
