,subTypeName,dealnum,close,open,low,average,dealamount,indate,high,deal
0,北京,171,53.73,53.73,53.73,0,9187.1,2016/7/22,53.73,53.73
1,上海,0,9.8,9.8,9.8,0,0,2016/7/22,9.8,9.8
2,广东,0,11.5,11.5,11.5,0,0,2016/7/22,11.5,11.5
3,天津,0,7,7,7,0,0,2016/7/22,7,7
4,SZ2014,50000,27.75,27.75,27.75,0,975000,2016/7/22,27.75,27.75
5,SZ2015,0,30.8,30.8,30.8,0,0,2016/7/22,30.8,30.8
6,SZ2013,0,41.45,41.45,41.45,0,0,2016/7/22,41.45,41.45
7,湖北,599947,10.38,10.38,10.38,0,6355200,2016/7/22,11.53,10.59
8,重庆,0,10,10,10,0,0,2016/7/22,10,10
9,北京,191,53.93,53.93,53.93,0,10301.1,2016/7/21,53.93,53.93
10,上海,0,9.8,9.8,9.8,0,0,2016/7/21,9.8,9.8
11,广东,1,11.5,11.5,11.5,0,11.5,2016/7/21,11.5,11.5
12,天津,0,7,7,7,0,0,2016/7/21,7,7
13,SZ2015,10000,30.8,30.8,30.8,0,308000,2016/7/21,30.8,30.8
14,SZ2013,0,41.45,41.45,41.45,0,0,2016/7/21,41.45,41.45
15,SZ2014,20001,27.75,27.8,24.7,0,494028,2016/7/21,27.75,26.8
16,湖北,21626,10.48,10.48,10.48,0,226640,2016/7/21,10.48,10.48
17,重庆,0,10,10,10,0,0,2016/7/21,10,10
18,北京,231,51.43,51.43,51.43,0,111897,2016/7/20,51.43,51.43
19,上海,0,9.8,9.8,9.8,0,0,2016/7/20,9.8,9.8
20,广东,1000,11.5,11.3,11.5,0,11500,2016/7/20,11.5,11.5
21,天津,0,7,7,7,0,0,2016/7/20,7,7
22,SZ2013,0,41.45,41.45,41.45,0,0,2016/7/20,41.45,41.45
23,SZ2014,486,30.83,25.23,25.23,0,14977.8,2016/7/20,30.83,30.82
24,SZ2015,0,34.2,34.2,34.2,0,0,2016/7/20,34.2,34.2
25,湖北,75063,10.59,10.59,10.59,0,794917,2016/7/20,10.59,10.59
26,重庆,0,10,10,10,0,0,2016/7/20,10,10
27,北京,1,42.9,42.9,42.9,0,42.9,2016/7/19,42.9,42.9
28,上海,0,9.8,9.8,9.8,0,0,2016/7/19,9.8,9.8
29,广东,2801,11.3,10.05,11.1,0,28146.7,2016/7/19,11.55,10.05
30,天津,0,7,7,7,0,0,2016/7/19,7,7
31,SZ2013,0,41.45,41.45,41.45,0,0,2016/7/19,41.45,41.45
32,SZ2014,1,28.03,28.03,28.03,0,28.03,2016/7/19,28.03,28.03
33,SZ2015,1800,34.2,34.2,34.2,0,61560,2016/7/19,34.2,34.2
34,湖北,159254,10.07,10.07,10.07,0,1704020,2016/7/19,10.07,10.07
35,重庆,0,10,10,10,0,0,2016/7/19,10,10
36,北京,3800,53.56,53.56,53.56,0,203520,2016/7/18,53.56,53.56
37,上海,0,9.8,9.8,9.8,0,0,2016/7/18,9.8,9.8
38,广东,1000,10.05,10,10.05,0,10500,2016/7/18,10.05,10.05
39,天津,0,7,7,7,0,0,2016/7/18,7,7
40,SZ2014,1,31.14,31.14,31.14,0,31.14,2016/7/18,31.14,31.14
41,SZ2015,0,38,38,38,0,0,2016/7/18,38,38
42,SZ2013,0,41.45,41.45,41.45,0,0,2016/7/18,41.45,41.45
43,湖北,162085,10.81,10.81,10.81,0,1752140,2016/7/18,10.81,10.81
44,重庆,0,10,10,10,0,0,2016/7/18,10,10
45,北京,0,53,53,53,0,0,2016/7/15,53,53
46,上海,0,9.8,9.8,9.8,0,0,2016/7/15,9.8,9.8
47,广东,0,10,10,10,0,0,2016/7/15,10,10
48,天津,0,7,7,7,0,0,2016/7/15,7,7
49,SZ2015,3301,38,40.96,33.52,0,121814,2016/7/15,40.96,36.9
50,SZ2013,0,41.45,41.45,41.45,0,0,2016/7/15,41.45,41.45
51,SZ2014,0,34.6,28.31,28.31,0,0,2016/7/15,34.6,31.46
52,湖北,89381,10.92,10.92,10.92,0,976040,2016/7/15,10.92,10.92
53,重庆,0,10,10,10,0,0,2016/7/15,10,10
54,北京,0,53,53,53,0,0,2016/7/14,53,53
55,上海,0,9.8,9.8,9.8,0,0,2016/7/14,9.8,9.8
56,广东,2000,10,10.5,9.45,0,20000,2016/7/14,10.55,10
57,天津,0,7,7,7,0,0,2016/7/14,7,7
58,SZ2013,0,41.45,41.45,41.45,0,0,2016/7/14,41.45,41.45
59,SZ2014,2,34.6,28.31,28.31,0,62.91,2016/7/14,34.6,31.46
60,SZ2015,1500,37.24,37.24,37.24,0,55860,2016/7/14,37.24,37.24
61,湖北,33379,12.13,12.13,12.13,0,404887,2016/7/14,12.13,12.13
62,重庆,0,10,10,10,0,0,2016/7/14,10,10
63,北京,82,53,53,53,0,4346,2016/7/13,53,53
