"","date","max_load","average_c","Y","sin1theta","sin2theta","cos1theta","cos2theta","FDL_lag1","FDL_lag3","FDL_lag7","weekday","degree_lag1","degree_lag7","hol","cool_lag0","heat_lag0","cool_lag1","heat_lag1","cool_lag7","heat_lag7","CJ","GQ"
"1","2011-01-01",16544,4,1,0.0172133561558347,0.0344216116227457,0.999851839209116,0.999407400739705,19378,18190,18107,"星期六",4,4,"小长假",0,1.8,0,1.8,0,1.8,0,0
"2","2011-01-02",17685,4,2,0.0344216116227457,0.0688024268023199,0.999407400739705,0.997630305306586,16544,18994,17506,"星期日",4,4,"周末",0,1.8,0,1.8,0,1.8,0,0
"3","2011-01-03",19185,4.5,3,0.0516196672232538,0.103101697447435,0.998666816288476,0.994670819911521,17685,19378,18928,"星期一",4,4,"周末",0,1.5125,0,1.8,0,1.8,0,0
"4","2011-01-04",20386,3.5,4,0.0688024268023199,0.137278772113265,0.997630305306586,0.990532452132223,19185,16544,18410,"星期二",4.5,4,"工作日",0,2.1125,0,1.5125,0,1.8,0,0
"5","2011-01-05",21077,2.5,5,0.0859647987374465,0.171293144181478,0.996298174934608,0.985220106756061,20386,17685,18190,"星期三",3.5,4,"工作日",0,2.8125,0,2.1125,0,1.8,0,0
"6","2011-01-06",21172,3,6,0.103101697447435,0.205104499868619,0.994670819911521,0.978740079966915,21077,19185,18994,"星期四",2.5,4,"工作日",0,2.45,0,2.8125,0,1.8,0,0
"7","2011-01-07",21068,4.5,7,0.120208044899353,0.23867276600595,0.99274872245774,0.97110005188295,21172,20386,19378,"星期五",3,4,"工作日",0,1.5125,0,2.45,0,1.8,0,0
"8","2011-01-08",18982,5.5,8,0.137278772113265,0.271958157534106,0.990532452132223,0.962309077454149,21068,21077,16544,"星期六",4.5,4,"周末",0,1.0125,0,1.5125,0,1.8,0,0
"9","2011-01-09",19348,3.5,9,0.154308820664281,0.304921224656289,0.988022665663698,0.952377575730397,18982,21172,17685,"星期日",5.5,4,"周末",0,2.1125,0,1.0125,0,1.8,0,0
"10","2011-01-10",20971,2.5,10,0.171293144181478,0.337522899594113,0.985220106756061,0.941317317512847,19348,21068,19185,"星期一",3.5,4.5,"工作日",0,2.8125,0,2.1125,0,1.5125,0,0
"11","2011-01-11",21435,4,11,0.188226709843244,0.369724542890673,0.982125605868001,0.929141411403174,20971,18982,20386,"星期二",2.5,3.5,"工作日",0,1.8,0,2.8125,0,2.1125,0,0
"12","2011-01-12",21061,5,12,0.205104499868619,0.401487989205973,0.978740079966915,0.915864288267287,21435,19348,21077,"星期三",4,2.5,"工作日",0,1.25,0,1.8,0,2.8125,0,0
"13","2011-01-13",20534,3,13,0.221921513004165,0.432775592550431,0.975064532257195,0.901501684131884,21061,20971,21172,"星期四",5,3,"工作日",0,2.45,0,1.25,0,2.45,0,0
"14","2011-01-14",20497,1.5,14,0.23867276600595,0.463550270902851,0.97110005188295,0.886070621534138,20534,21435,21068,"星期五",3,4.5,"工作日",0,3.6125,0,2.45,0,1.5125,0,0
"15","2011-01-15",20303,1,15,0.255353295116187,0.493775550159977,0.966847813605277,0.869589389346611,20497,21061,18982,"星期六",1.5,5.5,"周末",0,4.05,0,3.6125,0,1.0125,0,0
"16","2011-01-16",20067,2,16,0.271958157534106,0.52341560736555,0.962309077454149,0.852077521101309,20303,20534,19348,"星期日",1,3.5,"周末",0,3.2,0,4.05,0,2.1125,0,0
"17","2011-01-17",21325,2,17,0.288482432880609,0.55243531316762,0.957485188355039,0.83355577183857,20067,20497,20971,"星期一",2,2.5,"工作日",0,3.2,0,3.2,0,2.8125,0,0
"18","2011-01-18",21858,2,18,0.304921224656289,0.580800273453801,0.952377575730397,0.814046093508218,21325,20303,21435,"星期二",2,4,"工作日",0,3.2,0,3.2,0,1.8,0,0
"19","2011-01-19",21786,2,19,0.321269661692364,0.608476870115126,0.946987753076075,0.793571608952147,21858,20067,21061,"星期三",2,5,"工作日",0,3.2,0,3.2,0,1.25,0,0
"20","2011-01-20",21922,2,20,0.337522899594113,0.635432300890177,0.941317317512847,0.772156584499164,21786,21325,20534,"星期四",2,3,"工作日",0,3.2,0,3.2,0,2.45,0,0
"21","2011-01-21",20934,2,21,0.353676122176372,0.661634618242278,0.935367949313148,0.749826401204569,21922,21858,20497,"星期五",2,1.5,"工作日",0,3.2,0,3.2,0,3.6125,0,0
"22","2011-01-22",19115,2,22,0.369724542890673,0.687052767223667,0.929141411403174,0.726607524768566,20934,21786,20303,"星期六",2,1,"周末",0,3.2,0,3.2,0,4.05,0,0
"23","2011-01-23",18610,2,23,0.385663406243607,0.711656622281775,0.922639548840488,0.702527474169157,19115,21922,20067,"星期日",2,2,"周末",0,3.2,0,3.2,0,3.2,0,0
