,date,FDL
1,2008/01/01,26316
2,2008/01/02,31697
3,2008/01/03,33152
4,2008/01/04,32804
5,2008/01/05,30479
6,2008/01/06,28588
7,2008/01/07,30814
8,2008/01/08,31671
9,2008/01/09,31437
10,2008/01/10,31384
11,2008/01/11,30983
12,2008/01/12,31076
13,2008/01/13,30798
14,2008/01/14,34332
15,2008/01/15,35422
16,2008/01/16,35863
17,2008/01/17,36328
18,2008/01/18,35596
19,2008/01/19,33385
20,2008/01/20,31576
21,2008/01/21,34815
22,2008/01/22,36273
23,2008/01/23,36452
24,2008/01/24,36258
25,2008/01/25,35976
26,2008/01/26,34470
27,2008/01/27,32989
28,2008/01/28,35775
29,2008/01/29,35342
30,2008/01/30,35644
31,2008/01/31,35243
32,2008/02/01,34700
33,2008/02/02,33412
34,2008/02/03,29175
35,2008/02/04,29529
36,2008/02/05,27647
37,2008/02/06,24580
38,2008/02/07,23156
39,2008/02/08,22806
40,2008/02/09,23798
41,2008/02/10,24079
42,2008/02/11,25041
43,2008/02/12,26188
44,2008/02/13,29655
45,2008/02/14,30589
46,2008/02/15,30917
47,2008/02/16,29158
48,2008/02/17,28095
49,2008/02/18,31804
50,2008/02/19,31569
51,2008/02/20,31431
52,2008/02/21,30612
53,2008/02/22,29910
54,2008/02/23,28905
55,2008/02/24,28548
56,2008/02/25,31680
57,2008/02/26,33186
58,2008/02/27,32500
59,2008/02/28,31338
60,2008/02/29,30560
61,2008/03/01,28579
62,2008/03/02,26521
63,2008/03/03,29561
64,2008/03/04,30080
65,2008/03/05,30162
66,2008/03/06,30673
67,2008/03/07,31003
68,2008/03/08,30261
69,2008/03/09,27812
70,2008/03/10,29631
71,2008/03/11,29116
72,2008/03/12,28923
73,2008/03/13,29437
74,2008/03/14,29173
75,2008/03/15,27760
76,2008/03/16,26633
77,2008/03/17,28792
78,2008/03/18,29773
79,2008/03/19,29756
80,2008/03/20,29648
81,2008/03/21,29487
82,2008/03/22,28191
83,2008/03/23,26342
84,2008/03/24,28568
85,2008/03/25,29028
86,2008/03/26,28848
87,2008/03/27,28589
88,2008/03/28,28757
89,2008/03/29,27831
90,2008/03/30,26779
91,2008/03/31,28468
92,2008/04/01,29124
93,2008/04/02,28989
94,2008/04/03,28406
95,2008/04/04,24585
96,2008/04/05,25716
97,2008/04/06,26350
98,2008/04/07,28364
99,2008/04/08,29150
100,2008/04/09,28917
101,2008/04/10,29029
102,2008/04/11,28961
103,2008/04/12,27197
104,2008/04/13,26009
105,2008/04/14,28508
106,2008/04/15,29368
107,2008/04/16,29341
108,2008/04/17,28982
109,2008/04/18,28902
110,2008/04/19,27622
111,2008/04/20,25985
112,2008/04/21,28400
113,2008/04/22,28928
114,2008/04/23,28879
115,2008/04/24,28724
116,2008/04/25,28697
117,2008/04/26,27454
118,2008/04/27,26291
119,2008/04/28,28182
120,2008/04/29,28653
121,2008/04/30,27675
122,2008/05/01,22626
123,2008/05/02,23356
124,2008/05/03,25310
125,2008/05/04,27382
126,2008/05/05,28150
127,2008/05/06,28633
128,2008/05/07,28871
129,2008/05/08,29195
130,2008/05/09,28866
131,2008/05/10,27244
132,2008/05/11,25772
133,2008/05/12,28103
134,2008/05/13,28367
135,2008/05/14,28689
136,2008/05/15,28931.21
137,2008/05/16,29139
138,2008/05/17,27927.04
139,2008/05/18,26649.75
140,2008/05/19,28704.61
141,2008/05/20,29209.84
142,2008/05/21,29709.9
143,2008/05/22,30625.58
144,2008/05/23,31606.25
145,2008/05/24,29265.95
146,2008/05/25,27696
147,2008/05/26,30879.3
148,2008/05/27,32107.06
149,2008/05/28,31901.5
150,2008/05/29,30658.77
151,2008/05/30,30008.76
152,2008/05/31,27664.3
153,2008/06/01,25915.36
154,2008/06/02,29653.1
