,date,max_load,average_c,Y,sin1theta,sin2theta,cos1theta,cos2theta,FDL_lag1,FDL_lag3,FDL_lag7,weekday,degree_lag1,degree_lag7,hol,cool_lag0,heat_lag0,cool_lag1,heat_lag1,cool_lag7,heat_lag7,CJ,GQ
1,2011/01/01,16544,4,1,0.017213356,0.034421612,0.999851839,0.999407401,19378,18190,18107,星期六,4,4,小长假,0,1.8,0,1.8,0,1.8,0,0
2,2011/01/02,17685,4,2,0.034421612,0.068802427,0.999407401,0.997630305,16544,18994,17506,星期日,4,4,小长假,0,1.8,0,1.8,0,1.8,0,0
3,2011/01/03,19185,4.5,3,0.051619667,0.103101697,0.998666816,0.99467082,17685,19378,18928,星期一,4,4,小长假,0,1.5125,0,1.8,0,1.8,0,0
4,2011/01/04,20386,3.5,4,0.068802427,0.137278772,0.997630305,0.990532452,19185,16544,18410,星期二,4.5,4,工作日,0,2.1125,0,1.5125,0,1.8,0,0
5,2011/01/05,21077,2.5,5,0.085964799,0.171293144,0.996298175,0.985220107,20386,17685,18190,星期三,3.5,4,工作日,0,2.8125,0,2.1125,0,1.8,0,0
6,2011/01/06,21172,3,6,0.103101697,0.2051045,0.99467082,0.97874008,21077,19185,18994,星期四,2.5,4,工作日,0,2.45,0,2.8125,0,1.8,0,0
7,2011/01/07,21068,4.5,7,0.120208045,0.238672766,0.992748722,0.971100052,21172,20386,19378,星期五,3,4,工作日,0,1.5125,0,2.45,0,1.8,0,0
8,2011/01/08,18982,5.5,8,0.137278772,0.271958158,0.990532452,0.962309077,21068,21077,16544,星期六,4.5,4,周末,0,1.0125,0,1.5125,0,1.8,0,0
9,2011/01/09,19348,3.5,9,0.154308821,0.304921225,0.988022666,0.952377576,18982,21172,17685,星期日,5.5,4,周末,0,2.1125,0,1.0125,0,1.8,0,0
10,2011/01/10,20971,2.5,10,0.171293144,0.3375229,0.985220107,0.941317318,19348,21068,19185,星期一,3.5,4.5,工作日,0,2.8125,0,2.1125,0,1.5125,0,0
11,2011/01/11,21435,4,11,0.18822671,0.369724543,0.982125606,0.929141411,20971,18982,20386,星期二,2.5,3.5,工作日,0,1.8,0,2.8125,0,2.1125,0,0
12,2011/01/12,21061,5,12,0.2051045,0.401487989,0.97874008,0.915864288,21435,19348,21077,星期三,4,2.5,工作日,0,1.25,0,1.8,0,2.8125,0,0
13,2011/01/13,20534,3,13,0.221921513,0.432775593,0.975064532,0.901501684,21061,20971,21172,星期四,5,3,工作日,0,2.45,0,1.25,0,2.45,0,0
14,2011/01/14,20497,1.5,14,0.238672766,0.463550271,0.971100052,0.886070622,20534,21435,21068,星期五,3,4.5,工作日,0,3.6125,0,2.45,0,1.5125,0,0
15,2011/01/15,20303,1,15,0.255353295,0.49377555,0.966847814,0.869589389,20497,21061,18982,星期六,1.5,5.5,周末,0,4.05,0,3.6125,0,1.0125,0,0
16,2011/01/16,20067,2,16,0.271958158,0.523415607,0.962309077,0.852077521,20303,20534,19348,星期日,1,3.5,周末,0,3.2,0,4.05,0,2.1125,0,0
17,2011/01/17,21325,2,17,0.288482433,0.552435313,0.957485188,0.833555772,20067,20497,20971,星期一,2,2.5,工作日,0,3.2,0,3.2,0,2.8125,0,0
18,2011/01/18,21858,2,18,0.304921225,0.580800273,0.952377576,0.814046094,21325,20303,21435,星期二,2,4,工作日,0,3.2,0,3.2,0,1.8,0,0
19,2011/01/19,21786,2,19,0.321269662,0.60847687,0.946987753,0.793571609,21858,20067,21061,星期三,2,5,工作日,0,3.2,0,3.2,0,1.25,0,0
20,2011/01/20,21922,2,20,0.3375229,0.635432301,0.941317318,0.772156584,21786,21325,20534,星期四,2,3,工作日,0,3.2,0,3.2,0,2.45,0,0
21,2011/01/21,20934,2,21,0.353676122,0.661634618,0.935367949,0.749826401,21922,21858,20497,星期五,2,1.5,工作日,0,3.2,0,3.2,0,3.6125,0,0
22,2011/01/22,19115,2,22,0.369724543,0.687052767,0.929141411,0.726607525,20934,21786,20303,星期六,2,1,周末,0,3.2,0,3.2,0,4.05,0,0
23,2011/01/23,18610,2,23,0.385663406,0.711656622,0.922639549,0.702527474,19115,21922,20067,星期日,2,2,周末,0,3.2,0,3.2,0,3.2,0,0
24,2011/01/24,20128,2,24,0.401487989,0.735417023,0.915864288,0.677614789,18610,20934,21325,星期一,2,2,工作日,0,3.2,0,3.2,0,3.2,0,0
25,2011/01/25,19514,2,25,0.417193603,0.758305808,0.908817637,0.651898996,20128,19115,21858,星期二,2,2,工作日,0,3.2,0,3.2,0,3.2,0,0
26,2011/01/26,19509,4.5,26,0.432775593,0.780295851,0.901501684,0.625410573,19514,18610,21786,星期三,2,2,工作日,0,1.5125,0,3.2,0,3.2,0,0
27,2011/01/27,18597,4.5,27,0.448229342,0.801361088,0.893918597,0.598180914,19509,20128,21922,星期四,4.5,2,工作日,0,1.5125,0,1.5125,0,3.2,0,0
28,2011/01/28,18832,4.5,28,0.463550271,0.821476553,0.886070622,0.570242293,18597,19514,20934,星期五,4.5,2,工作日,0,1.5125,0,1.5125,0,3.2,0,0
29,2011/01/29,17189,1,29,0.47873384,0.840618406,0.877960085,0.541627821,18832,19509,19115,星期六,4.5,2,周末,0,4.05,0,1.5125,0,3.2,1,0
30,2011/01/30,17139,0.5,30,0.49377555,0.858763958,0.869589389,0.512371412,17189,18597,18610,星期日,1,2,工作日,0,4.5125,0,4.05,0,3.2,1,0
31,2011/01/31,15964,2.5,31,0.508670944,0.875891705,0.860961016,0.482507742,17139,18832,20128,星期一,0.5,2,工作日,0,2.8125,0,4.5125,0,3.2,1,0
32,2011/02/01,14640,5,32,0.523415607,0.891981346,0.852077521,0.452072204,15964,17189,19514,星期二,2.5,2,工作日,0,1.25,0,2.8125,0,3.2,1,0
33,2011/02/02,12790,6.5,33,0.538005172,0.907013813,0.842941537,0.421100871,14640,17139,19509,星期三,5,4.5,小长假,0,0.6125,0,1.25,0,1.5125,1,0
34,2011/02/03,12152,8,34,0.552435313,0.920971288,0.833555772,0.38963045,12790,15964,18597,星期四,6.5,4.5,小长假,0,0.2,0,0.6125,0,1.5125,1,0
35,2011/02/04,11797,9,35,0.566701756,0.933837229,0.823923006,0.357698239,12152,14640,18832,星期五,8,4.5,小长假,0,0.05,0,0.2,0,1.5125,1,0
