date,max_load,temperature,weekday,holiday
2011/01/01,16544,4.0,6,-1
2011/01/02,17685,4.0,7,1
2011/01/03,19185,4.5,1,1
2011/01/04,20386,3.5,2,0
2011/01/05,21077,2.5,3,0
2011/01/06,21172,3.0,4,0
2011/01/07,21068,4.5,5,0
2011/01/08,18982,5.5,6,1
2011/01/09,19348,3.5,7,1
2011/01/10,20971,2.5,1,0
2011/01/11,21435,4.0,2,0
2011/01/12,21061,5.0,3,0
2011/01/13,20534,3.0,4,0
2011/01/14,20497,1.5,5,0
2011/01/15,20303,1.0,6,1
2011/01/16,20067,2.0,7,1
2011/01/17,21325,2.0,1,0
2011/01/18,21858,2.0,2,0
2011/01/19,21786,2.0,3,0
2011/01/20,21922,2.0,4,0
2011/01/21,20934,2.0,5,0
2011/01/22,19115,2.0,6,1
2011/01/23,18610,2.0,7,1
2011/01/24,20128,2.0,1,0
2011/01/25,19514,2.0,2,0
2011/01/26,19509,4.5,3,0
2011/01/27,18597,4.5,4,0
2011/01/28,18832,4.5,5,0
2011/01/29,17189,1.0,6,1
2011/01/30,17139,0.5,7,0
2011/01/31,15964,2.5,1,0
2011/02/01,14640,5.0,2,0
2011/02/02,12790,6.5,3,-1
2011/02/03,12152,8.0,4,-1
2011/02/04,11797,9.0,5,-1
2011/02/05,11900,10.0,6,1
2011/02/06,12049,10.5,7,1
2011/02/07,12408,12.5,1,1
2011/02/08,12590,12.5,2,1
2011/02/09,14822,6.5,3,0
2011/02/10,17306,3.0,4,0
2011/02/11,17546,2.5,5,0
2011/02/12,17848,2.5,6,0
2011/02/13,17487,2.0,7,1
2011/02/14,19231,1.5,1,0
2011/02/15,19428,4.5,2,0
2011/02/16,19714,7.0,3,0
2011/02/17,19852,4.0,4,0
2011/02/18,19706,4.0,5,0
2011/02/19,17849,5.5,6,1
2011/02/20,16814,6.5,7,1
2011/02/21,18746,8.5,1,0
2011/02/22,18087,10.0,2,0
2011/02/23,17225,12.0,3,0
2011/02/24,16888,13.5,4,0
2011/02/25,17780,11.0,5,0
2011/02/26,16256,13.0,6,1
2011/02/27,15252,13.5,7,1
2011/02/28,18655,5.5,1,0
2011/03/01,19727,3.0,2,0
2011/03/02,19129,4.5,3,0
