date,hour,max_load,weekday,holiday
2011-01-01 00,0,14415,6,-1
2011-01-01 01,1,13253,6,-1
2011-01-01 02,2,12608,6,-1
2011-01-01 03,3,12129,6,-1
2011-01-01 04,4,11912,6,-1
2011-01-01 05,5,12102,6,-1
2011-01-01 06,6,12087,6,-1
2011-01-01 07,7,12476,6,-1
2011-01-01 08,8,13172,6,-1
2011-01-01 09,9,13818,6,-1
2011-01-01 10,10,14272,6,-1
2011-01-01 11,11,14392,6,-1
2011-01-01 12,12,14388,6,-1
2011-01-01 13,13,14138,6,-1
2011-01-01 14,14,13892,6,-1
2011-01-01 15,15,14340,6,-1
2011-01-01 16,16,15137,6,-1
2011-01-01 17,17,16284,6,-1
2011-01-01 18,18,16382,6,-1
2011-01-01 19,19,16544,6,-1
2011-01-01 20,20,16283,6,-1
2011-01-01 21,21,16077,6,-1
2011-01-01 22,22,15306,6,-1
2011-01-01 23,23,14207,6,-1
2011-01-02 00,0,12955,7,1
2011-01-02 01,1,11932,7,1
2011-01-02 02,2,11365,7,1
2011-01-02 03,3,11093,7,1
2011-01-02 04,4,11061,7,1
2011-01-02 05,5,11312,7,1
2011-01-02 06,6,11638,7,1
2011-01-02 07,7,12726,7,1
2011-01-02 08,8,14010,7,1
2011-01-02 09,9,14847,7,1
2011-01-02 10,10,15173,7,1
2011-01-02 11,11,15308,7,1
2011-01-02 12,12,15247,7,1
2011-01-02 13,13,15468,7,1
2011-01-02 14,14,15624,7,1
2011-01-02 15,15,15884,7,1
2011-01-02 16,16,16710,7,1
2011-01-02 17,17,17685,7,1
2011-01-02 18,18,17550,7,1
2011-01-02 19,19,17528,7,1
2011-01-02 20,20,17175,7,1
2011-01-02 21,21,16948,7,1
2011-01-02 22,22,16141,7,1
2011-01-02 23,23,15118,7,1
2011-01-03 00,0,13562,1,1
2011-01-03 01,1,12726,1,1
2011-01-03 02,2,11925,1,1
2011-01-03 03,3,11715,1,1
2011-01-03 04,4,11533,1,1
2011-01-03 05,5,11928,1,1
2011-01-03 06,6,12168,1,1
2011-01-03 07,7,13347,1,1
2011-01-03 08,8,15322,1,1
2011-01-03 09,9,16367,1,1
2011-01-03 10,10,16920,1,1
2011-01-03 11,11,16841,1,1
2011-01-03 12,12,16694,1,1
2011-01-03 13,13,17006,1,1
2011-01-03 14,14,16996,1,1
2011-01-03 15,15,17290,1,1
2011-01-03 16,16,18159,1,1
2011-01-03 17,17,19013,1,1
2011-01-03 18,18,19160,1,1
2011-01-03 19,19,19185,1,1
2011-01-03 20,20,18804,1,1
2011-01-03 21,21,18092,1,1
2011-01-03 22,22,17014,1,1
2011-01-03 23,23,15699,1,1
2011-01-04 00,0,14228,2,0
2011-01-04 01,1,13726,2,0
2011-01-04 02,2,13166,2,0
2011-01-04 03,3,12727,2,0
2011-01-04 04,4,12559,2,0
2011-01-04 05,5,13189,2,0
2011-01-04 06,6,14161,2,0
2011-01-04 07,7,15866,2,0
2011-01-04 08,8,18714,2,0
2011-01-04 09,9,20166,2,0
2011-01-04 10,10,20355,2,0
2011-01-04 11,11,20147,2,0
2011-01-04 12,12,19875,2,0
2011-01-04 13,13,19933,2,0
2011-01-04 14,14,19875,2,0
2011-01-04 15,15,20035,2,0
2011-01-04 16,16,20178,2,0
2011-01-04 17,17,19986,2,0
2011-01-04 18,18,20340,2,0
2011-01-04 19,19,20386,2,0
2011-01-04 20,20,20246,2,0
2011-01-04 21,21,19879,2,0
2011-01-04 22,22,18465,2,0
2011-01-04 23,23,16934,2,0
2011-01-05 00,0,15367,3,0
2011-01-05 01,1,13950,3,0
2011-01-05 02,2,13321,3,0
2011-01-05 03,3,13221,3,0
2011-01-05 04,4,13245,3,0
2011-01-05 05,5,13754,3,0
2011-01-05 06,6,14249,3,0
2011-01-05 07,7,16158,3,0
2011-01-05 08,8,19027,3,0
2011-01-05 09,9,20585,3,0
2011-01-05 10,10,21077,3,0
2011-01-05 11,11,20812,3,0
2011-01-05 12,12,20449,3,0
2011-01-05 13,13,20734,3,0
2011-01-05 14,14,20476,3,0
2011-01-05 15,15,20669,3,0
2011-01-05 16,16,20828,3,0
2011-01-05 17,17,20690,3,0
2011-01-05 18,18,20627,3,0
2011-01-05 19,19,20752,3,0
2011-01-05 20,20,20645,3,0
2011-01-05 21,21,20223,3,0
2011-01-05 22,22,18694,3,0
2011-01-05 23,23,17093,3,0
2011-01-06 00,0,15436,4,0
2011-01-06 01,1,14397,4,0
2011-01-06 02,2,13759,4,0
2011-01-06 03,3,13320,4,0
2011-01-06 04,4,13291,4,0
2011-01-06 05,5,13936,4,0
2011-01-06 06,6,14611,4,0
2011-01-06 07,7,16424,4,0
2011-01-06 08,8,19463,4,0
2011-01-06 09,9,20700,4,0
2011-01-06 10,10,20747,4,0
2011-01-06 11,11,20437,4,0
2011-01-06 12,12,20190,4,0
2011-01-06 13,13,20440,4,0
2011-01-06 14,14,20314,4,0
2011-01-06 15,15,20468,4,0
2011-01-06 16,16,20863,4,0
2011-01-06 17,17,20856,4,0
2011-01-06 18,18,20948,4,0
2011-01-06 19,19,21151,4,0
2011-01-06 20,20,21172,4,0
2011-01-06 21,21,20714,4,0
2011-01-06 22,22,19265,4,0
2011-01-06 23,23,17511,4,0
2011-01-07 00,0,15788,5,0
2011-01-07 01,1,14310,5,0
2011-01-07 02,2,13802,5,0
2011-01-07 03,3,13541,5,0
2011-01-07 04,4,13537,5,0
