dates,max_load
2009/9/11,18064.0
2009/9/12,15172.0
2009/9/13,14076.0
2009/9/14,16987.0
2009/9/15,16291.0
2009/9/16,16424.0
2009/9/17,16279.0
2009/9/18,15572.0
2009/9/19,14924.0
2009/9/20,14039.0
2009/9/21,15845.0
2009/9/22,15524.0
2009/9/23,15986.0
2009/9/24,16561.0
2009/9/25,17037.0
2009/9/26,15119.0
2009/9/27,15926.0
2009/9/28,16178.0
2009/9/29,15527.0
2009/9/30,14961.0
2009/10/1,11269.0
2009/10/2,11382.0
2009/10/3,11294.0
2009/10/4,12009.0
2009/10/5,12954.0
2009/10/6,12708.0
2009/10/7,13328.0
2009/10/8,13679.0
2009/10/9,14596.0
2009/10/10,14383.0
2009/10/11,13583.0
2009/10/12,14776.0
2009/10/13,14575.0
2009/10/14,14673.0
2009/10/15,14644.0
2009/10/16,15031.0
2009/10/17,13547.0
2009/10/18,13010.0
2009/10/19,14686.0
2009/10/20,14682.0
2009/10/21,14635.0
2009/10/22,14761.0
2009/10/23,14839.0
2009/10/24,13847.0
2009/10/25,13353.0
2009/10/26,14715.0
2009/10/27,14866.0
2009/10/28,14981.0
2009/10/29,15160.0
2009/10/30,15250.0
2009/10/31,14067.0
2009/11/1,13050.0
2009/11/2,14720.0
2009/11/3,14653.0
2009/11/4,
2009/11/5,14714.0
2009/11/6,14646.0
2009/11/7,13991.0
2009/11/8,13616.0
2009/11/9,15294.0
2009/11/10,14965.0
2009/11/11,14651.0
2009/11/12,14865.0
2009/11/13,15462.0
2009/11/14,13441.0
2009/11/15,13470.0
2009/11/16,16299.0
2009/11/17,17172.0
2009/11/18,17408.0
2009/11/19,17539.0
2009/11/20,18034.0
2009/11/21,16071.0
2009/11/22,14689.0
2009/11/23,16016.0
2009/11/24,15367.0
2009/11/25,15254.0
2009/11/26,14923.0
2009/11/27,15192.0
2009/11/28,14723.0
2009/11/29,14810.0
2009/11/30,17048.0
2009/12/1,16557.0
2009/12/2,16704.0
2009/12/3,17243.0
2009/12/4,16633.0
2009/12/5,15780.0
2009/12/6,14981.0
2009/12/7,16178.0
2009/12/8,16184.0
2009/12/9,16609.0
2009/12/10,16749.0
2009/12/11,16258.0
2009/12/12,15176.0
2009/12/13,15041.0
2009/12/14,16514.0
2009/12/15,17560.0
2009/12/16,17215.0
2009/12/17,17592.0
2009/12/18,18229.0
2009/12/19,17748.0
2009/12/20,17223.0
2009/12/21,18821.0
2009/12/22,18063.0
2009/12/23,17318.0
2009/12/24,16523.0
2009/12/25,17062.0
2009/12/26,16713.0
2009/12/27,17599.0
2009/12/28,19059.0
2009/12/29,18374.0
2009/12/30,17734.0
2009/12/31,17662.0
2010/1/1,14451.0
2010/1/2,14797.0
2010/1/3,15493.0
2010/1/4,17994.0
2010/1/5,19421.0
2010/1/6,19333.0
2010/1/7,19294.0
2010/1/8,19156.0
2010/1/9,16200.0
2010/1/10,17286.0
2010/1/11,19721.0
2010/1/12,19690.0
2010/1/13,20279.0
2010/1/14,19629.0
2010/1/15,18999.0
2010/1/16,17345.0
2010/1/17,16265.0
2010/1/18,17508.0
2010/1/19,16423.0
2010/1/20,16218.0
2010/1/21,18536.0
2010/1/22,19104.0
2010/1/23,17270.0
2010/1/24,16258.0
2010/1/25,18228.0
2010/1/26,17986.0
2010/1/27,18242.0
2010/1/28,18534.0
2010/1/29,17014.0
2010/1/30,15364.0
2010/1/31,15116.0
2010/2/1,17244.0
2010/2/2,17551.0
2010/2/3,17040.0
2010/2/4,17220.0
2010/2/5,17057.0
2010/2/6,15657.0
2010/2/7,14678.0
2010/2/8,15209.0
2010/2/9,13522.0
2010/2/10,14089.0
2010/2/11,14905.0
2010/2/12,13824.0
2010/2/13,12424.0
2010/2/14,12389.0
2010/2/15,12447.0
2010/2/16,12830.0
2010/2/17,12895.0
2010/2/18,13136.0
2010/2/19,13217.0
2010/2/20,13517.0
2010/2/21,13612.0
2010/2/22,14121.0
2010/2/23,14357.0
2010/2/24,14382.0
2010/2/25,14534.0
2010/2/26,15506.0
2010/2/27,14575.0
2010/2/28,13421.0
2010/3/1,16471.0
2010/3/2,17484.0
2010/3/3,17827.0
2010/3/4,17627.0
2010/3/5,18132.0
2010/3/6,18449.0
2010/3/9,19866.0
2010/3/10,19429.0
2010/3/11,17988.0
2010/3/12,16511.0
2010/3/13,15613.0
2010/3/14,14734.0
2010/3/15,17405.0
2010/3/16,16414.0
2010/3/17,16215.0
2010/3/18,17356.0
2010/3/19,16132.0
2010/3/20,14557.0
2010/3/21,14298.0
2010/3/22,16122.0
2010/3/23,16832.0
2010/3/24,17591.0
2010/3/25,16997.0
2010/3/26,16513.0
2010/3/27,15296.0
2010/3/28,14388.0
2010/3/29,15862.0
2010/3/30,16518.0
2010/3/31,15900.0
2010/4/1,16229.0
2010/4/3,14681.0
2010/4/5,12856.0
2010/4/6,15860.0
2010/4/7,15796.0
2010/4/8,16145.0
2010/4/9,16424.0
2010/4/10,14724.0
2010/4/12,16400.0
2010/4/13,16506.0
2010/4/14,17244.0
2010/4/15,17485.0
2010/4/16,16397.0
2010/4/17,14933.0
2010/4/18,14129.0
2010/4/19,15669.0
2010/4/20,16060.0
2010/4/23,15530.0
2010/4/24,14556.0
2010/4/25,13983.0
2010/4/26,15713.0
2010/4/27,15209.0
2010/4/28,15244.0
2010/4/29,15157.0
2010/4/30,13747.0
2010/5/1,11579.0
2010/5/2,12478.0
2010/5/3,13224.0
2010/5/4,14429.0
2010/5/5,15400.0
2010/5/6,16145.0
2010/5/7,15465.0
2010/5/8,14397.0
2010/5/9,15564.0
2010/5/12,15430.0
2010/5/13,15228.0
2010/5/14,15281.0
2010/5/15,14203.0
2010/5/16,13489.0
2010/5/17,15372.0
2010/5/18,16218.0
2010/5/20,16065.0
2010/5/21,15883.0
2010/5/22,14822.0
2010/5/23,13598.0
2010/5/24,15677.0
2010/5/25,16081.0
2010/5/26,16215.0
2010/5/27,16424.0
2010/5/28,15972.0
2010/5/29,14446.0
2010/5/30,15464.0
2010/6/1,15527.0
2010/6/2,15735.0
2010/6/3,15777.0
2010/6/4,15928.0
2010/6/5,16326.0
2010/6/8,16538.0
2010/6/9,15816.0
2010/6/10,16071.0
2010/6/11,16246.0
2010/6/12,16001.0
2010/6/13,15506.0
2010/6/16,17600.0
2010/6/18,18677.0
2010/6/19,18541.0
2010/6/22,17645.0
2010/6/23,19032.0
2010/6/24,17418.0
2010/6/25,17051.0
2010/6/26,15452.0
2010/6/27,14946.0
2010/6/28,17601.0
2010/6/29,17709.0
2010/6/30,20053.0
2010/7/1,21524.0
2010/7/2,22593.0
2010/7/5,20689.0
2010/7/6,19980.0
2010/7/7,20957.0
2010/7/10,19725.0
2010/7/13,19571.0
2010/7/14,18634.0
2010/7/15,19106.0
2010/7/16,19349.0
2010/7/17,17948.0
2010/7/18,22467.0
2010/7/21,23304.0
2010/7/22,23123.0
2010/7/23,22618.0
2010/7/26,20937.0
2010/7/27,19572.0
2010/7/28,22397.0
2010/7/30,23277.0
2010/7/31,21767.0
2010/8/1,22308.0
2010/8/2,25637.0
2010/8/3,25606.0
2010/8/4,25589.0
2010/8/5,24285.0
2010/8/6,23076.0
2010/8/8,19189.0
2010/8/9,23309.0
2010/8/10,23588.0
2010/8/11,24643.0
2010/8/12,25975.0
2010/8/13,25758.0
2010/8/14,24282.0
2010/8/15,23132.0
2010/8/16,25403.0
2010/8/17,24564.0
2010/8/18,24326.0
2010/8/19,23754.0
2010/8/20,23721.0
2010/8/21,21661.0
2010/8/22,20717.0
2010/8/23,24477.0
2010/8/24,24512.0
2010/8/25,24737.0
2010/8/26,24237.0
2010/8/27,22335.0
2010/8/28,18177.0
2010/8/29,17336.0
2010/8/30,20489.0
2010/8/31,21557.0
2010/9/1,21899.0
2010/9/2,21524.0
2010/9/3,22194.0
2010/9/4,20361.0
2010/9/5,18856.0
2010/9/6,22019.0
2010/9/7,22226.0
2010/9/8,23318.0
2010/9/9,23245.0
2010/9/10,21864.0
2010/9/11,19705.0
2010/9/12,16769.0
2010/9/13,18756.0
2010/9/14,20443.0
2010/9/15,19892.0
2010/9/16,19667.0
2010/9/17,19772.0
2010/9/18,18062.0
2010/9/19,20814.0
2010/9/20,22045.0
2010/9/21,22434.0
2010/9/22,17156.0
2010/9/23,14867.0
2010/9/24,15556.0
2010/9/25,16319.0
2010/9/26,15888.0
2010/9/27,16135.0
2010/9/28,16410.0
2010/9/29,15811.0
2010/9/30,15378.0
2010/10/1,11950.0
2010/10/2,12249.0
2010/10/3,12458.0
2010/10/4,13399.0
2010/10/5,13772.0
2010/10/6,14379.0
2010/10/7,14840.0
2010/10/8,16028.0
2010/10/9,15942.0
2010/10/10,14547.0
2010/10/11,16106.0
2010/10/12,16250.0
2010/10/13,16087.0
2010/10/14,16032.0
2010/10/15,15608.0
2010/10/16,14713.0
2010/10/17,14106.0
2010/10/18,15651.0
2010/10/19,15969.0
2010/10/20,15844.0
2010/10/21,15705.0
2010/10/22,15786.0
2010/10/23,15106.0
2010/10/24,14242.0
2010/10/25,15640.0
2010/10/26,15555.0
2010/10/27,15671.0
2010/10/28,15778.0
2010/10/29,15765.0
2010/10/30,14622.0
2010/10/31,13939.0
2010/11/1,15800.0
2010/11/3,15828.0
2010/11/4,15625.0
2010/11/5,15572.0
2010/11/6,14785.0
2010/11/7,14204.0
2010/11/8,15904.0
2010/11/9,15812.0
2010/11/10,15679.0
2010/11/11,15815.0
2010/11/12,15465.0
2010/11/13,14730.0
2010/11/14,14279.0
2010/11/15,16227.0
2010/11/16,16395.0
2010/11/17,16205.0
2010/11/18,16076.0
2010/11/19,15906.0
2010/11/20,15074.0
2010/11/21,14374.0
2010/11/22,15939.0
2010/11/23,16065.0
2010/11/24,16106.0
2010/11/25,16005.0
2010/11/26,15980.0
2010/11/27,14996.0
2010/11/28,14281.0
2010/11/29,15856.0
2010/11/30,15947.0
2010/12/1,15842.0
2010/12/2,15779.0
2010/12/3,15753.0
2010/12/4,15007.0
2010/12/5,14031.0
2010/12/6,16352.0
2010/12/7,16914.0
2010/12/8,16935.0
2010/12/9,16898.0
2010/12/10,16333.0
2010/12/11,15800.0
2010/12/12,15346.0
2010/12/13,16996.0
2010/12/14,17767.0
2010/12/15,19508.0
2010/12/16,19819.0
2010/12/17,19486.0
2010/12/18,17177.0
2010/12/19,15632.0
2010/12/20,17643.0
2010/12/21,17282.0
2010/12/22,17305.0
2010/12/23,16926.0
2010/12/24,19007.0
2010/12/25,18107.0
2010/12/26,17506.0
2010/12/27,18928.0
2010/12/28,18410.0
2010/12/29,18190.0
2010/12/30,18994.0
2010/12/31,19378.0
2011/1/1,16544.0
2011/1/2,17685.0
2011/1/3,19185.0
2011/1/4,20386.0
2011/1/5,21077.0
2011/1/6,21172.0
2011/1/7,21068.0
2011/1/8,18982.0
2011/1/9,19348.0
2011/1/10,20971.0
2011/1/11,21435.0
2011/1/12,21061.0
2011/1/13,20534.0
2011/1/14,20497.0
2011/1/15,20303.0
2011/1/16,20067.0
2011/1/17,21325.0
2011/1/18,21858.0
2011/1/19,21786.0
2011/1/20,21922.0
2011/1/21,20934.0
2011/1/22,19115.0
2011/1/23,18610.0
2011/1/24,20128.0
2011/1/25,19514.0
2011/1/26,19509.0
2011/1/27,18597.0
2011/1/28,18832.0
2011/1/29,17189.0
2011/1/30,17139.0
2011/1/31,15964.0
2011/2/1,14640.0
2011/2/2,12790.0
2011/2/3,12152.0
2011/2/4,11797.0
2011/2/5,11900.0
2011/2/6,12049.0
2011/2/7,12408.0
2011/2/8,12590.0
2011/2/9,14822.0
2011/2/10,17306.0
2011/2/11,17546.0
2011/2/12,17848.0
2011/2/13,17487.0
2011/2/14,19231.0
2011/2/15,19428.0
2011/2/16,19714.0
2011/2/17,19852.0
2011/2/18,19706.0
2011/2/19,17849.0
2011/2/20,16814.0
2011/2/21,18746.0
2011/2/22,18087.0
2011/2/23,17225.0
2011/2/24,16888.0
2011/2/25,17780.0
2011/2/26,16256.0
2011/2/27,15252.0
2011/2/28,18655.0
2011/3/1,19727.0
2011/3/2,19129.0
2011/3/3,18637.0
2011/3/4,18556.0
2011/3/5,16852.0
2011/3/6,16609.0
2011/3/7,18442.0
2011/3/8,17812.0
2011/3/9,17873.0
2011/3/10,17420.0
2011/3/11,17235.0
2011/3/12,16029.0
2011/3/13,15165.0
2011/3/14,17657.0
2011/3/15,18450.0
2011/3/16,17927.0
2011/3/17,16882.0
2011/3/18,17486.0
2011/3/19,16009.0
2011/3/20,15469.0
2011/3/21,18532.0
2011/3/22,18891.0
2011/3/23,17850.0
2011/3/24,17159.0
2011/3/25,17392.0
2011/3/26,15913.0
2011/3/27,15103.0
2011/3/28,16688.0
2011/3/29,16766.0
2011/3/30,16793.0
2011/3/31,16484.0
2011/4/1,16218.0
2011/4/2,16321.0
2011/4/3,15298.0
2011/4/4,14435.0
2011/4/5,13811.0
2011/4/6,16363.0
2011/4/7,16990.0
2011/4/8,16344.0
2011/4/9,15323.0
2011/4/10,14454.0
2011/4/11,16396.0
2011/4/12,16132.0
2011/4/13,16241.0
2011/4/14,16194.0
2011/4/15,16457.0
2011/4/16,15307.0
2011/4/17,14262.0
2011/4/18,15979.0
2011/4/19,16039.0
2011/4/20,16028.0
