,日期,最高气温,最低气温,天气,风向,风力
0,2011-01-01,6,2,多云~雨夹雪,北风,4-5级
1,2011-01-02,6,2,多云,北风,4-5级
2,2011-01-03,7,2,多云~阴,东北风,3-4级
3,2011-01-04,6,1,小雨,北风,4-5级
4,2011-01-05,5,0,阴~多云,北风,4-5级
5,2011-01-06,6,0,多云,北风,3-4级
6,2011-01-07,7,2,多云,北风,4-5级
7,2011-01-08,7,4,多云~阴,东北风,3-4级
8,2011-01-09,7,0,阴~多云,北风,3-4级
9,2011-01-10,5,0,多云~阴,东北风~东风,4-5级~3-4级
10,2011-01-11,6,2,多云,东风,3-4级
11,2011-01-12,7,3,多云~阴,东北风,3-4级
12,2011-01-13,6,0,阴~多云,东北风,4-5级
13,2011-01-14,5,-2,多云,北风,4-5级
14,2011-01-15,3,-1,多云,北风~东北风,4-5级
15,2011-01-16,4,0,多云~阴,东北风,4-5级~3-4级
16,2011-01-26,7,2,阴,东北风,3-4级
17,2011-01-29,4,-2,晴~多云,北风,4-5级
18,2011-01-30,4,-3,多云~晴,西北风,4-5级~3-4级
19,2011-01-31,7,-2,晴,西北风,微风~3-4级
20,2011-02-01,9,1,多云,西南风,3-4级
21,2011-02-02,11,2,晴,西南风,微风
22,2011-02-03,13,3,晴~多云,南风,微风~3-4级
23,2011-02-04,14,4,晴,南风~北风,3-4级
24,2011-02-05,15,5,晴~多云,北风~东南风,3-4级
25,2011-02-06,16,5,多云~晴,南风~北风,3-4级
26,2011-02-07,15,10,多云~阴,东风~东南风,3-4级
27,2011-02-08,19,6,多云,东北风,3-4级
28,2011-02-09,9,4,阴~小雨,北风,4-5级
29,2011-02-10,5,1,小雨~雨夹雪,东北风,4-5级
30,2011-02-11,6,-1,多云,北风,4-5级
31,2011-02-12,5,0,多云~阴,北风~东北风,4-5级~3-4级
32,2011-02-13,4,0,阴,东北风,3-4级
33,2011-02-14,4,-1,多云,北风,4-5级~3-4级
34,2011-02-15,6,3,晴~多云,东北风~东风,3-4级
35,2011-02-16,9,5,小雨,东南风~东北风,3-4级
36,2011-02-17,5,3,阴~多云,东北风,4-5级
37,2011-02-18,6,2,多云~阴,北风~东北风,4-5级~3-4级
38,2011-02-19,8,3,阴~多云,北风~东北风,3-4级
